system:index,LST,Latitude,Longitude,NDBI,NDVI,.geo
1241,48.21562157000005,19.88998308243427,75.20905849786247,0.0967551622418879,0.1079483777590158,"{""type"":""Point"",""coordinates"":[75.20905849786247,19.88998308243427]}"
1242,40.24479893,19.879460366959336,75.39469012085709,-0.10621419127368885,0.3532821134923844,"{""type"":""Point"",""coordinates"":[75.39469012085709,19.879460366959336]}"
1243,44.45067254000003,19.982509203212192,75.49165993145554,0.07207444473707313,0.19597193935279475,"{""type"":""Point"",""coordinates"":[75.49165993145554,19.982509203212192]}"
1244,42.69381026000002,19.983759624855967,75.23734235153846,0.0799092970521542,0.16651333946642136,"{""type"":""Point"",""coordinates"":[75.23734235153846,19.983759624855967]}"
1245,45.65210657,19.851410401389455,75.45557288428664,-0.03740584705732159,0.2744667503136763,"{""type"":""Point"",""coordinates"":[75.45557288428664,19.851410401389455]}"
1246,43.770486559999995,19.866652891258187,75.5088242323415,0.041286983912701095,0.25194652563537534,"{""type"":""Point"",""coordinates"":[75.5088242323415,19.866652891258187]}"
1247,41.98969814000003,19.89247651607397,75.33299705782771,0.03877673395962423,0.15935390549662487,"{""type"":""Point"",""coordinates"":[75.33299705782771,19.89247651607397]}"
1248,40.28239715000001,19.72441873444554,75.22485119104195,-0.013174475884981097,0.22154696132596685,"{""type"":""Point"",""coordinates"":[75.22485119104195,19.72441873444554]}"
1249,41.897411600000055,19.916527980620202,75.3523172193891,0.06224267377088884,0.08383484954513645,"{""type"":""Point"",""coordinates"":[75.3523172193891,19.916527980620202]}"
1250,45.110350400000016,19.78801128519626,75.27952965377719,0.042047853624208306,0.22235941183073296,"{""type"":""Point"",""coordinates"":[75.27952965377719,19.78801128519626]}"
1251,44.01316598000005,19.751157403830803,75.36205271920892,0.08317757009345794,0.14938488576449913,"{""type"":""Point"",""coordinates"":[75.36205271920892,19.751157403830803]}"
1252,38.886135980000006,19.877700093049278,75.36086268075162,-0.007559018490522154,0.2518422193324664,"{""type"":""Point"",""coordinates"":[75.36086268075162,19.877700093049278]}"
1253,48.42070277000005,19.757893783454865,75.29890578471169,0.16558538776324982,0.1430133989608969,"{""type"":""Point"",""coordinates"":[75.29890578471169,19.757893783454865]}"
1254,42.26313974000004,19.97957895613689,75.33215628957831,0.16745997403721333,0.17733447558438378,"{""type"":""Point"",""coordinates"":[75.33215628957831,19.97957895613689]}"
1255,42.47334797000002,19.75080726841936,75.37719348932224,-0.06835095965530748,0.2803661542072527,"{""type"":""Point"",""coordinates"":[75.37719348932224,19.75080726841936]}"
1256,40.521658549999984,19.81735988862154,75.47836037584825,0.06825071691929536,0.20940125491864298,"{""type"":""Point"",""coordinates"":[75.47836037584825,19.81735988862154]}"
1257,43.46628278000003,19.815521483887323,75.42984879643397,0.12155963302752294,0.2097920505396157,"{""type"":""Point"",""coordinates"":[75.42984879643397,19.815521483887323]}"
1258,42.69210125000001,19.90583718428944,75.39384233763045,-0.10485624546992027,0.3299403809800785,"{""type"":""Point"",""coordinates"":[75.39384233763045,19.90583718428944]}"
1259,44.61302849000003,20.015444450174073,75.39320040195187,0.050464361642609375,0.16326250856751198,"{""type"":""Point"",""coordinates"":[75.39320040195187,20.015444450174073]}"
1260,45.79908143,20.017662772879927,75.47557292511104,0.030932490404154436,0.3996412848524376,"{""type"":""Point"",""coordinates"":[75.47557292511104,20.017662772879927]}"
1261,44.82665473999998,20.042327562515226,75.42147070220389,0.10221264930487566,0.2008905185961236,"{""type"":""Point"",""coordinates"":[75.42147070220389,20.042327562515226]}"
1262,45.905040050000025,20.011515477074823,75.50181410294103,0.08961748633879782,0.19460777283808978,"{""type"":""Point"",""coordinates"":[75.50181410294103,20.011515477074823]}"
1263,43.26461960000006,19.956655606764688,75.31838568657365,-0.1163778457356439,0.4927305770104498,"{""type"":""Point"",""coordinates"":[75.31838568657365,19.956655606764688]}"
1264,41.73163763000002,19.821226231475126,75.25422608167564,0.07623774977726867,0.19355369182700213,"{""type"":""Point"",""coordinates"":[75.25422608167564,19.821226231475126]}"
1265,45.55811102000001,19.974254661325435,75.21836730935412,0.05656883621886862,0.2659957758727792,"{""type"":""Point"",""coordinates"":[75.21836730935412,19.974254661325435]}"
1266,46.70143871000005,19.918487832320814,75.43457222008031,-0.0030316810671517356,0.1395849479032119,"{""type"":""Point"",""coordinates"":[75.43457222008031,19.918487832320814]}"
1267,46.682639600000016,19.982169885248286,75.23906325031776,0.09546925566343042,0.14094568545186528,"{""type"":""Point"",""coordinates"":[75.23906325031776,19.982169885248286]}"
1268,40.88738669000003,19.98792309600707,75.40393279108508,0.12113507750348561,0.1747423810567858,"{""type"":""Point"",""coordinates"":[75.40393279108508,19.98792309600707]}"
1269,43.83371993000003,19.95798995677117,75.25450705259814,0.04691777588973851,0.3137280416395576,"{""type"":""Point"",""coordinates"":[75.25450705259814,19.95798995677117]}"
1270,45.770028260000004,19.802278277987355,75.54214534024437,-0.06883169934640523,0.27914935223661697,"{""type"":""Point"",""coordinates"":[75.54214534024437,19.802278277987355]}"
1271,45.917003120000004,19.773076370239345,75.28857645947872,0.12274544213707712,0.17161458333333332,"{""type"":""Point"",""coordinates"":[75.28857645947872,19.773076370239345]}"
1272,47.61405005000006,19.96969104811301,75.36272303079483,0.1310116086235489,0.14194391980241175,"{""type"":""Point"",""coordinates"":[75.36272303079483,19.96969104811301]}"
1273,50.034008210000025,19.824198476620612,75.55505188261134,-0.023255813953488372,0.30532948280388555,"{""type"":""Point"",""coordinates"":[75.55505188261134,19.824198476620612]}"
1274,43.63376576000002,19.972349551816933,75.5105631648826,0.05439161966156326,0.2052895108486327,"{""type"":""Point"",""coordinates"":[75.5105631648826,19.972349551816933]}"
1275,46.56984494000005,19.740032274180365,75.31217565389504,0.021007826445146233,0.1380686352753392,"{""type"":""Point"",""coordinates"":[75.31217565389504,19.740032274180365]}"
1276,42.50581915999999,19.946775456243344,75.5074046823016,0.12645002056766763,0.17287087153429803,"{""type"":""Point"",""coordinates"":[75.5074046823016,19.946775456243344]}"
1277,46.67580356000002,20.029224011968,75.48440821630382,0.013422074320576816,0.35311121253613265,"{""type"":""Point"",""coordinates"":[75.48440821630382,20.029224011968]}"
1278,38.51186279000001,20.040571434044498,75.35544140226975,-0.15491183879093198,0.44050268359732947,"{""type"":""Point"",""coordinates"":[75.35544140226975,20.040571434044498]}"
1279,42.678429170000015,19.996417548649468,75.50290017848582,1.0958904109589041E-4,0.1925238530910992,"{""type"":""Point"",""coordinates"":[75.50290017848582,19.996417548649468]}"
